hitClass,exitSpeed,launchAngle,direction,distance,playingLevel
5,35.7787743,45.5638771,24.6224117,85.9352646,3
2,0,0,0,0,1
2,34.91726,4.6996026,9.825643,27.6044312,0
5,32.6161079,27.5264721,25.23664,62.99584,1
3,29.5050659,12.2069349,-5.086041,40.3003044,3
2,0,0,0,0,0
4,24.782505,19.6759987,13.33654,37.7167435,0
2,0,0,0,0,2
3,35.54999924,14.23999977,-18.37999916,48.16999817,1
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,1
6,29.1221867,62.42096,-4.86070538,47.35884,3
5,26.47022,33.168026,-6.231161,56.8479,0
1,22.1793537,-36.74781,-22.8282738,0.75173974,1
2,0,0,0,0,0
5,35.027523,34.7933846,24.9474354,89.2358856,0
2,0,0,0,0,1
2,0,0,0,0,1
4,34.00816,23.5539875,-19.3625145,69.67582,2
2,0,0,0,0,0
2,19.9638939,4.924557,14.9618158,8.475858,1
1,32.8459435,-0.003439249,4.77458239,12.2832623,1
4,38.02752,15.5200329,0.538978755,80.28559,1
4,36.9367142,16.23659,-1.7552036,68.63186,1
5,34.9055824,30.48965,14.5874786,93.77774,1
1,24.5650673,-5.84268,20.307333,5.10958,0
3,41.1172676,12.4850616,3.97752619,75.15407,2
5,45.8473434,24.4497814,10.2195244,126.476814,3
3,40.71025,9.698388,-4.868034,54.52054,3
3,34.50485,7.40365076,0.183608845,37.6136627,0
2,34.96589,1.9468044,6.506187,18.1855736,0
2,36.3472176,5.631831,3.27491164,31.2841911,2
2,0,0,0,0,2
2,0,0,0,0,0
2,0,0,0,0,3
5,39.2145348,29.5630646,27.3442364,88.06322,2
4,35.949192,19.9333935,5.78266525,67.2112045,1
2,0,0,0,0,1
5,33.0832062,24.91642,-13.2794228,77.72882,2
3,43.40139,9.993721,-1.94235027,72.6715851,2
5,24.3058414,26.8597984,-36.0247536,35.159462,0
1,35.9252968,-11.5051861,-24.6060486,3.55302668,3
2,0,0,0,0,0
4,37.7434,18.4966412,5.110218,68.34886,1
3,31.5874271,10.11863,-10.3994789,38.99291,1
3,44.8319168,8.835269,1.0059557,44.84162,3
2,0,0,0,0,2
1,21.3173313,-15.1408052,18.1087437,3.5658257,0
4,38.9315643,23.7372742,0.67944634,79.3156738,2
5,19.066946,47.64989,-35.5976639,32.86044,0
5,32.5549164,34.6338234,4.547202,81.509964,0
2,0,0,0,0,2
3,37.0318565,9.128854,-13.5595045,41.4260025,2
5,24.795496,28.0590668,17.65881,48.87026,0
3,39.8642464,13.3339653,4.08095741,61.73162,2
4,32.5967522,17.3888454,-16.8858032,59.6130257,1
2,0,0,0,0,1
2,0,0,0,0,1
5,32.50088,28.4766254,3.26744676,75.85733,1
4,37.3067474,23.7645359,-6.199121,89.94734,2
4,32.79926,20.1233063,14.5945644,65.80053,1
4,38.96203,16.20506,1.8839277,64.74477,1
2,0,0,0,0,0
5,37.1964531,38.1896973,28.22239,92.3224,2
5,16.28392,30.9911079,-6.26996136,25.61048,0
4,29.7477341,21.1300259,-12.178318,53.420845,3
2,0,0,0,0,2
1,29.0126572,-28.25892,52.4246674,1.193964,2
4,36.0722847,16.0345573,12.85191,61.83511,1
3,36.5907059,11.3434792,32.485405,41.76764,1
6,22.8709888,58.4001045,-10.0642748,35.74756,0
5,44.9265327,25.1701355,5.9098177,119.038071,3
2,0,0,0,0,0
5,21.2702312,31.3105431,-10.2137566,37.591568,0
5,33.7884979,42.6361275,-14.1935635,82.7830658,1
3,39.6029625,6.67738867,-5.240311,50.833786,1
5,25.6991825,33.22822,-3.62091041,51.4329567,0
2,0,0,0,0,2
3,41.9829636,12.1607637,-1.04673791,69.63488,1
1,40.36369,-1.34333134,-0.142582774,13.1297464,2
2,0,0,0,0,1
5,36.70234,29.0476265,15.55935,87.33964,1
5,30.0969868,32.2380142,-7.440732,70.72554,0
2,0,0,0,0,2
2,42.903553,0.8777977,8.301462,17.4681,3
2,0,0,0,0,2
2,0,0,0,0,2
2,0,0,0,0,1
2,0,0,0,0,3
2,0,0,0,0,1
3,32.76899,14.0955105,0.6227376,47.64058,1
2,33.1457176,0.9039843,9.136864,13.26622,1
2,29.35818,0.571939349,13.3520937,10.2788324,0
2,0,0,0,0,1
4,33.8927345,19.2804947,-14.4270058,65.18187,1
3,35.4046936,8.845441,18.3198414,28.7380047,1
1,24.4751244,-3.98725271,13.47112,7.39396524,0
4,38.45392,21.8634663,9.43614,93.79201,2
2,0,0,0,0,3
3,27.2884769,7.14208651,1.47224975,20.7761021,0
5,25.36998,25.9474812,5.88103676,50.7996445,0
4,37.72631,21.4939556,-3.16998219,90.990036,2
5,26.5969315,36.3191528,-5.00509834,54.9335327,0
1,28.95585,-6.64717674,-7.167826,5.52942038,0
2,0,0,0,0,0
1,22.6923428,-34.1549149,-6.20527935,1.25671721,0
1,26.64882,-15.1162882,39.8656921,2.36915541,1
6,24.01257,63.6254654,-44.8763351,37.3062019,2
2,0,0,0,0,1
4,40.57001,19.0766068,-19.2308426,82.47972,3
3,25.1973724,6.84663773,9.629402,18.2181015,0
2,0,0,0,0,3
4,31.1058521,22.45845,21.0107918,63.85924,0
3,17.3819866,7.19052362,21.2029781,10.6123466,0
4,34.761528,19.62711,20.85329,71.29988,0
4,25.1728611,18.5170155,-3.84712338,42.7642326,0
3,37.21079,9.957176,-14.52788,34.7701225,1
2,0,0,0,0,2
5,36.0398979,30.91274,4.987116,93.56299,3
2,0,0,0,0,2
3,43.1441154,14.0674686,4.454945,70.16036,3
5,36.33258,26.2324333,13.53907,91.83878,1
5,42.8023643,24.6579685,6.751046,115.147728,2
2,0,0,0,0,1
2,0,0,0,0,3
5,36.33818,31.0266724,-33.91389,86.61632,2
1,32.1321526,-13.1889067,7.45764542,3.29113626,2
3,28.2263966,13.6230288,7.4382143,41.1918945,0
5,23.37000084,41.38000107,1.049999952,45.91999817,3
2,34.1228752,5.68176556,-13.8983135,28.5004044,2
2,25.8422356,4.720714,13.1598816,17.6528721,0
2,0,0,0,0,1
4,21.608284,23.43533,13.4721327,34.13358,0
3,35.9419746,11.3754253,-13.8566217,41.7744522,1
2,34.1027222,5.16676855,-10.1305876,23.7150135,2
2,0,0,0,0,2
1,28.8009,-14.956707,26.7868958,2.3091054,0
5,22.8383236,37.2748146,0.5425071,41.43255,0
2,0,0,0,0,2
2,0,0,0,0,3
5,36.66403,40.6835136,-12.9353361,90.89564,1
5,22.9062653,32.40225,1.293126,45.47322,0
3,38.5373039,14.9889393,11.8747187,73.14392,3
1,35.85905,-14.28644,17.79627,3.4839797,3
1,45.25772,-3.78867555,-12.2237806,6.817929,2
3,32.21699,7.81401873,-7.90667057,35.1773949,1
4,35.85648,18.3659725,2.980284,76.2898254,1
3,36.57049,11.203392,-31.4346161,55.206913,3
2,0,0,0,0,1
2,0,0,0,0,3
2,0,0,0,0,1
5,38.76422,29.1689873,10.58108,92.7327957,2
2,0,0,0,0,3
3,39.6344,14.0761023,23.5346832,68.14386,2
2,19.4928284,2.59901452,-20.46378,8.563824,0
2,0,0,0,0,2
3,40.3133278,14.6692619,-5.4762063,71.85251,2
4,31.1269226,15.2835417,-18.4823132,42.1395531,1
4,31.867609,21.6773262,-2.76708269,68.12523,1
2,0,0,0,0,1
5,36.8915558,28.1359272,-14.7275734,89.86335,1
3,39.0983467,13.8271332,24.0422859,52.4010124,2
2,0,0,0,0,3
2,0,0,0,0,1
4,33.7043533,20.1780548,-1.07713079,66.3676453,1
3,29.5709286,12.1697617,28.0555115,39.5898743,1
4,35.30741,20.2288246,10.5994272,69.90295,1
3,42.2544632,14.3507919,12.5878839,82.6633759,3
2,0,0,0,0,2
3,37.6202774,6.27864075,10.3147411,50.6225243,2
3,43.6652,6.71952868,-4.31350756,47.16135,2
2,0,0,0,0,0
4,36.9121475,17.07128,-8.252009,72.6587,2
3,27.2070961,9.355725,5.82913637,24.037796,0
2,0,0,0,0,1
4,25.7952442,22.9252186,-9.849505,46.9499474,0
2,40.91802,1.09792984,20.5362511,36.9761162,3
2,0,0,0,0,0
2,0,0,0,0,2
3,31.160017,11.1941624,-3.03477049,37.8101654,0
5,33.3478775,36.1191559,3.10606837,85.67842,0
2,0,0,0,0,3
2,23.7066021,4.620419,8.100923,13.114028,3
3,31.7634029,14.839488,14.1861582,51.1222,1
4,35.9149323,20.7027588,-4.99503756,80.3508759,2
2,40.09955,4.3250227,28.45516,40.28383,2
3,34.3904762,6.81482935,-8.447692,37.6531372,0
3,29.08495,7.18457365,-18.65213,24.19959,0
2,0,0,0,0,0
4,26.99883,23.2124729,-13.9142847,46.5510674,0
4,39.7529945,18.1134624,-10.0899858,81.60311,1
1,26.97843,-20.8979931,-25.2163162,2.06809354,0
2,35.584877,5.85111,-0.11834053,24.7925434,1
2,0,0,0,0,1
5,17.8277054,39.9627533,-66.0680542,27.13861,2
2,0,0,0,0,2
5,31.3497887,35.883007,14.7367058,68.86199,2
2,41.2083168,3.29396963,-2.18558431,21.0956078,1
2,35.7208252,0.882744551,2.77541947,15.0494995,1
2,0,0,0,0,2
2,0,0,0,0,1
2,0,0,0,0,1
2,0,0,0,0,2
2,0,0,0,0,1
3,37.1248627,6.47257233,24.3805141,32.2628937,2
4,29.0150089,17.4552841,24.35622,45.3685722,0
4,41.5739059,19.74726,18.9127312,85.52415,3
4,15.7983322,20.49429,-59.6682739,19.6762161,2
1,39.5451355,-0.6480033,25.9503956,10.6294756,0
2,35.2511253,0.807047367,37.352623,15.2312183,1
5,27.9358234,32.215126,20.0811882,60.7520447,0
2,0,0,0,0,1
5,28.3011341,42.66415,-11.5604,64.779335,3
1,20.3501949,-12.4078035,-17.39243,1.842435,1
1,6.05845928,-18.7049465,-10.8946648,2.74292278,0
2,29.04999924,3.74000001,-16.63999939,14.68000031,2
6,33.7131462,53.86637,-60.7686539,67.45711,2
